,timestamp_start,timestamp_end,qSQI_score,cSQI_score,sSQI_score,kSQI_score,pSQI_score,basSQI_score,annot_2,annot_3,record,consensus
149,2020-12-18 13:04:58.000000000,2020-12-18 13:05:00.000000000,0.8,0.673,1.505,5.195,0.49,0.931,1,1,emg6+emg6- 77,1
150,2020-12-18 13:05:00.000000000,2020-12-18 13:05:02.000000000,0.857,0.769,1.653,5.529,0.489,0.998,1,1,emg6+emg6- 77,1
151,2020-12-18 13:05:02.000000000,2020-12-18 13:05:04.000000000,0.667,0.569,1.119,4.158,0.524,0.921,1,1,emg6+emg6- 77,1
152,2020-12-18 13:05:04.000000000,2020-12-18 13:05:06.000000000,0.857,0.734,1.696,5.885,0.529,0.986,1,1,emg6+emg6- 77,1
153,2020-12-18 13:05:06.000000000,2020-12-18 13:05:08.000000000,0.667,0.502,-0.582,-0.872,0.562,0.655,0,0,emg6+emg6- 77,0
154,2020-12-18 13:05:08.000000000,2020-12-18 13:05:10.000000000,0.857,0.767,0.216,0.546,0.487,0.886,1,1,emg6+emg6- 77,1
155,2020-12-18 13:05:10.000000000,2020-12-18 13:05:12.000000000,1.0,0.616,0.968,3.285,0.534,0.948,1,1,emg6+emg6- 77,1
156,2020-12-18 13:05:12.000000000,2020-12-18 13:05:14.000000000,0.857,0.781,0.366,0.606,0.525,0.901,1,1,emg6+emg6- 77,1
157,2020-12-18 13:05:14.000000000,2020-12-18 13:05:16.000000000,1.0,0.567,0.345,0.752,0.534,0.898,1,1,emg6+emg6- 77,1
158,2020-12-18 13:05:16.000000000,2020-12-18 13:05:18.000000000,0.857,0.692,1.24,3.742,0.498,0.927,1,1,emg6+emg6- 77,1
159,2020-12-18 13:05:18.000000000,2020-12-18 13:05:20.000000000,0.667,0.517,2.312,7.303,0.522,0.96,1,1,emg6+emg6- 77,1
160,2020-12-18 13:05:20.000000000,2020-12-18 13:05:22.000000000,1.0,0.609,0.478,-0.978,0.476,0.72,1,1,emg6+emg6- 77,1
161,2020-12-18 13:05:22.000000000,2020-12-18 13:05:24.000000000,0.5,0.683,0.167,0.503,0.54,0.895,0,0,emg6+emg6- 77,0
162,2020-12-18 13:05:24.000000000,2020-12-18 13:05:26.000000000,0.5,0.0,0.192,1.046,0.601,0.913,0,0,emg6+emg6- 77,0
163,2020-12-18 13:05:26.000000000,2020-12-18 13:05:28.000000000,0.333,0.741,2.102,6.822,0.694,0.898,0,0,emg6+emg6- 77,0
164,2020-12-18 13:05:28.000000000,2020-12-18 13:05:30.000000000,0.4,0.0,0.588,0.384,0.607,0.884,0,0,emg6+emg6- 77,0
165,2020-12-18 13:05:30.000000000,2020-12-18 13:05:32.000000000,0.5,0.725,0.709,-0.276,0.669,0.894,0,0,emg6+emg6- 77,0
166,2020-12-18 13:05:32.000000000,2020-12-18 13:05:34.000000000,1.0,0.372,1.032,1.539,0.675,0.902,0,0,emg6+emg6- 77,0
167,2020-12-18 13:05:34.000000000,2020-12-18 13:05:36.000000000,0.6,0.534,0.719,0.254,0.651,0.883,0,0,emg6+emg6- 77,0
168,2020-12-18 13:05:36.000000000,2020-12-18 13:05:38.000000000,0.444,0.712,-0.553,1.503,0.595,0.918,0,0,emg6+emg6- 77,0
169,2020-12-18 13:05:38.000000000,2020-12-18 13:05:40.000000000,0.25,0.851,0.764,0.248,0.639,0.925,0,0,emg6+emg6- 77,0
170,2020-12-18 13:05:40.000000000,2020-12-18 13:05:42.000000000,0.0,0.991,1.544,1.025,0.653,0.842,0,0,emg6+emg6- 77,0
171,2020-12-18 13:05:42.000000000,2020-12-18 13:05:44.000000000,1.0,0.614,0.086,4.736,0.509,0.956,1,1,emg6+emg6- 77,1
172,2020-12-18 13:05:44.000000000,2020-12-18 13:05:46.000000000,0.857,0.436,1.366,3.119,0.548,0.915,1,0,emg6+emg6- 77,0
173,2020-12-18 13:05:46.000000000,2020-12-18 13:05:48.000000000,0.571,0.783,1.589,2.906,0.611,0.914,0,0,emg6+emg6- 77,0
174,2020-12-18 13:05:48.000000000,2020-12-18 13:05:50.000000000,0.75,0.677,0.841,3.278,0.535,0.97,0,0,emg6+emg6- 77,0
175,2020-12-18 13:05:50.000000000,2020-12-18 13:05:52.000000000,1.0,0.612,2.813,9.665,0.481,0.976,1,1,emg6+emg6- 77,1
